Telaio	Status	Modello	Data Gated In	Data Consegna	Tecnico	Carrozzeria 1	Carrozzeria extra	Bisarchista	1	2	3	4	5	6	7	8	9	10	Note
KT691024	FA-Fatturato	COMPASS	13/02/2020	06/03/2020	Roberto	Cavallari			MOD LATO DX SUPERIORI POST/PARAFANGO POST	MOD COFANO POST	FANALE POST. SX (PORTELLONE)	CALANDRA SOTTOPARABREZZA	VETRINO SPECCHIO RETROVISORE SX	FANALE POST (PARAFANGO) SX					Partenza
KT690902	FA-Fatturato	COMPASS	13/02/2020	06/05/2020	Roberto	Cavallari			MOD LATO SX SUPERIORI ANT/POST/PARAFANGO POST	MONTANTE POST PORTA POST SX	MOD COFANO POST	CALANDRA SOTTOPARABREZZA							Gil / Enrico
KT691456	FA-Fatturato	COMPASS	07/02/2020	12/03/2020	Roberto	Cavallari	Eurocar		PARABREZZA	lato sx MOD ANT/POST/PARAFANGO POST mod. (nera)	MOD COFANO POST	corrimano sx	Montanti plastica ANT/POST lato sx	fanale post sx					
KPJ68736	IC–INCarrozzeria	RENEGADE	13/01/2020		Roberto	Cavallari			VETRO CALOTTA  DX										
KT646300	PF–Preparazionefinale	COMPASS	14/02/2020		Roberto	Cavallari			PARABREZZA	MOD LATO SX  ANT/POST/PARAFANGO POST	MOD COFANO POST								Modanatura post dx, tappini 
KT690935	PF–Preparazionefinale	COMPASS	13/02/2020		Roberto	Cavallari			Calandra tra cofano e parabrezza	PARABREZZA	MOD LATO DX SUPERIORI ANT/POST/PARAFANGO POST	FANALE POST DX (PA)							Modanature tutte a dx e ant sx, plastiche davanti a barre tetto sia dx che sx, copribarra sia dx che sx, calandra, raschiavetri ant e post dx, coprimontante ant dx e post della porta post dx, 
KT710760	PF–Preparazionefinale	COMPASS	19/02/2020		Roberto	Cavallari			PARABREZZA	MOD lato sx ANT/POST/PARAFANGO POSTR (C)	corrimano sx	MOD COFANO POST							Calandra, coprimontante ant sx, modanatura ant sx, raschiavetro ant sx, plastiche tra  e cofano sia dx che sx
KPJ28010	Pronta x consegna	RENEGADE	10/02/2020		Roberto	Cavallari													
KT609614	FA-Fatturato	COMPASS	11/12/2019	28/02/2020	Ciro	Ercolani			VETRO SPECCHIO SX	MOD COFANO POST									
KT623318	FA-Fatturato	COMPASS	09/01/2020	12/03/2020	Ciro	Ercolani			MOD lato Sx  ANT/POST/PARAFANGO POST	PARABREZZA + GEL									
JPH83671	In rientro	RENEGADE	19/12/2019		Costantino	Ercolani			TERZO STOP										Enrico Re 
KT691537	In rientro	COMPASS	11/12/2019		Costantino	Ercolani			MOD LATO SX  ANT/POST/PARAFANGO POST	PARABREZZA	fanale post SX (PA)	mod sx a/p/pp							RIMANDARE A ERCOLANI
KT710707	IC–INCarrozzeria	COMPASS	20/02/2020		Ederson	Ercolani			MOD LATO SX P										
